symbol,signals,n_signals,holding_days,regime,n,win_rate,mean_return
BTCUSDT,rsi+drop3,2,3,all,77,0.6104,0.025057
BTCUSDT,rsi+drop3,2,7,bull,0,,
BTCUSDT,rsi+drop3,2,7,bear,54,0.5926,0.020957
BTCUSDT,rsi+drop3,2,7,sideways,10,0.9,0.147409
BTCUSDT,rsi+drop3,2,7,all,77,0.6364,0.03901
BTCUSDT,rsi+vol_spike,2,1,bull,0,,
BTCUSDT,rsi+vol_spike,2,1,bear,26,0.5769,0.015758
BTCUSDT,rsi+vol_spike,2,1,sideways,6,0.8333,0.023048
BTCUSDT,rsi+vol_spike,2,1,all,39,0.6154,0.014286
BTCUSDT,rsi+vol_spike,2,3,bull,0,,
BTCUSDT,rsi+vol_spike,2,3,bear,26,0.5385,0.018347
BTCUSDT,rsi+vol_spike,2,3,sideways,6,0.6667,0.04473
BTCUSDT,rsi+vol_spike,2,3,all,39,0.6154,0.028327
BTCUSDT,rsi+vol_spike,2,7,bull,0,,
BTCUSDT,rsi+vol_spike,2,7,bear,26,0.5385,0.005321
BTCUSDT,rsi+vol_spike,2,7,sideways,6,0.8333,0.090268
BTCUSDT,rsi+vol_spike,2,7,all,39,0.641,0.029717
BTCUSDT,bollinger+drop3,2,1,bull,2,0.0,-0.031742
BTCUSDT,bollinger+drop3,2,1,bear,53,0.566,0.008492
BTCUSDT,bollinger+drop3,2,1,sideways,51,0.6275,-0.001212
BTCUSDT,bollinger+drop3,2,1,all,113,0.5841,0.002474
BTCUSDT,bollinger+drop3,2,3,bull,2,0.0,-0.036527
BTCUSDT,bollinger+drop3,2,3,bear,53,0.566,0.009972
BTCUSDT,bollinger+drop3,2,3,sideways,51,0.6078,0.008414
BTCUSDT,bollinger+drop3,2,3,all,113,0.5752,0.008897
BTCUSDT,bollinger+drop3,2,7,bull,2,0.5,0.011702
BTCUSDT,bollinger+drop3,2,7,bear,53,0.6038,0.011373
BTCUSDT,bollinger+drop3,2,7,sideways,51,0.6667,0.034355
BTCUSDT,bollinger+drop3,2,7,all,113,0.6283,0.023009
BTCUSDT,bollinger+vol_spike,2,1,bull,0,,
BTCUSDT,bollinger+vol_spike,2,1,bear,25,0.56,0.014992
BTCUSDT,bollinger+vol_spike,2,1,sideways,18,0.7778,-0.001922
BTCUSDT,bollinger+vol_spike,2,1,all,48,0.6458,0.007091
BTCUSDT,bollinger+vol_spike,2,3,bull,0,,
BTCUSDT,bollinger+vol_spike,2,3,bear,25,0.52,0.010846
BTCUSDT,bollinger+vol_spike,2,3,sideways,18,0.6667,0.015741
BTCUSDT,bollinger+vol_spike,2,3,all,48,0.6042,0.01606
BTCUSDT,bollinger+vol_spike,2,7,bull,0,,
BTCUSDT,bollinger+vol_spike,2,7,bear,25,0.44,-0.003599
BTCUSDT,bollinger+vol_spike,2,7,sideways,18,0.7778,0.035259
BTCUSDT,bollinger+vol_spike,2,7,all,48,0.6042,0.016518
BTCUSDT,drop3+vol_spike,2,1,bull,21,0.5238,0.007181
BTCUSDT,drop3+vol_spike,2,1,bear,22,0.6364,0.025842
BTCUSDT,drop3+vol_spike,2,1,sideways,25,0.68,-0.000302
BTCUSDT,drop3+vol_spike,2,1,all,72,0.6111,0.009906
BTCUSDT,drop3+vol_spike,2,3,bull,21,0.5714,0.022699
BTCUSDT,drop3+vol_spike,2,3,bear,22,0.5909,0.028236
BTCUSDT,drop3+vol_spike,2,3,sideways,25,0.68,0.007001
BTCUSDT,drop3+vol_spike,2,3,all,72,0.625,0.01991
BTCUSDT,drop3+vol_spike,2,7,bull,21,0.7143,0.047184
BTCUSDT,drop3+vol_spike,2,7,bear,22,0.5,0.008861
BTCUSDT,drop3+vol_spike,2,7,sideways,25,0.72,0.009048
BTCUSDT,drop3+vol_spike,2,7,all,72,0.6528,0.022667
BTCUSDT,rsi+bollinger+drop3,3,1,bull,0,,
BTCUSDT,rsi+bollinger+drop3,3,1,bear,36,0.5833,0.015354
BTCUSDT,rsi+bollinger+drop3,3,1,sideways,10,0.7,0.039065
BTCUSDT,rsi+bollinger+drop3,3,1,all,51,0.6078,0.017999
BTCUSDT,rsi+bollinger+drop3,3,3,bull,0,,
BTCUSDT,rsi+bollinger+drop3,3,3,bear,36,0.5556,0.01583
BTCUSDT,rsi+bollinger+drop3,3,3,sideways,10,0.8,0.06539
BTCUSDT,rsi+bollinger+drop3,3,3,all,51,0.6078,0.026801
BTCUSDT,rsi+bollinger+drop3,3,7,bull,0,,
BTCUSDT,rsi+bollinger+drop3,3,7,bear,36,0.5833,0.017286
BTCUSDT,rsi+bollinger+drop3,3,7,sideways,10,0.9,0.147409
BTCUSDT,rsi+bollinger+drop3,3,7,all,51,0.6471,0.045112
BTCUSDT,rsi+bollinger+vol_spike,3,1,bull,0,,
BTCUSDT,rsi+bollinger+vol_spike,3,1,bear,23,0.5217,0.014033
BTCUSDT,rsi+bollinger+vol_spike,3,1,sideways,6,0.8333,0.023048
BTCUSDT,rsi+bollinger+vol_spike,3,1,all,34,0.5882,0.013565
BTCUSDT,rsi+bollinger+vol_spike,3,3,bull,0,,
BTCUSDT,rsi+bollinger+vol_spike,3,3,bear,23,0.4783,0.009993
BTCUSDT,rsi+bollinger+vol_spike,3,3,sideways,6,0.6667,0.04473
BTCUSDT,rsi+bollinger+vol_spike,3,3,all,34,0.5588,0.021018
BTCUSDT,rsi+bollinger+vol_spike,3,7,bull,0,,
BTCUSDT,rsi+bollinger+vol_spike,3,7,bear,23,0.4783,-0.002463
BTCUSDT,rsi+bollinger+vol_spike,3,7,sideways,6,0.8333,0.090268
BTCUSDT,rsi+bollinger+vol_spike,3,7,all,34,0.5882,0.021563
BTCUSDT,rsi+drop3+vol_spike,3,1,bull,0,,
BTCUSDT,rsi+drop3+vol_spike,3,1,bear,20,0.65,0.028057
BTCUSDT,rsi+drop3+vol_spike,3,1,sideways,4,0.75,0.024143
BTCUSDT,rsi+drop3+vol_spike,3,1,all,27,0.6667,0.02457
BTCUSDT,rsi+drop3+vol_spike,3,3,bull,0,,
BTCUSDT,rsi+drop3+vol_spike,3,3,bear,20,0.6,0.029993
BTCUSDT,rsi+drop3+vol_spike,3,3,sideways,4,0.5,0.012416
BTCUSDT,rsi+drop3+vol_spike,3,3,all,27,0.5926,0.029769
BTCUSDT,rsi+drop3+vol_spike,3,7,bull,0,,
BTCUSDT,rsi+drop3+vol_spike,3,7,bear,20,0.55,0.011389
BTCUSDT,rsi+drop3+vol_spike,3,7,sideways,4,0.75,0.03876
BTCUSDT,rsi+drop3+vol_spike,3,7,all,27,0.5926,0.022146
BTCUSDT,bollinger+drop3+vol_spike,3,1,bull,0,,
BTCUSDT,bollinger+drop3+vol_spike,3,1,bear,19,0.6316,0.026218
BTCUSDT,bollinger+drop3+vol_spike,3,1,sideways,15,0.8,-0.00179
BTCUSDT,bollinger+drop3+vol_spike,3,1,all,37,0.7027,0.012891
BTCUSDT,bollinger+drop3+vol_spike,3,3,bull,0,,
BTCUSDT,bollinger+drop3+vol_spike,3,3,bear,19,0.5789,0.022211
BTCUSDT,bollinger+drop3+vol_spike,3,3,sideways,15,0.6667,0.007586
BTCUSDT,bollinger+drop3+vol_spike,3,3,all,37,0.6216,0.018649
BTCUSDT,bollinger+drop3+vol_spike,3,7,bull,0,,
BTCUSDT,bollinger+drop3+vol_spike,3,7,bear,19,0.4737,0.001464
BTCUSDT,bollinger+drop3+vol_spike,3,7,sideways,15,0.8,0.017677
BTCUSDT,bollinger+drop3+vol_spike,3,7,all,37,0.6216,0.013732
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,1,bull,0,,
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,1,bear,18,0.6111,0.026906
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,1,sideways,4,0.75,0.024143
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,1,all,25,0.64,0.023463
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,3,bull,0,,
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,3,bear,18,0.5556,0.022057
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,3,sideways,4,0.5,0.012416
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,3,all,25,0.56,0.024037
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,7,bull,0,,
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,7,bear,18,0.5,0.003189
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,7,sideways,4,0.75,0.03876
BTCUSDT,rsi+bollinger+drop3+vol_spike,4,7,all,25,0.56,0.017102
BTCUSDT,baseline,0,1,bull,1500,0.5607,0.00484
BTCUSDT,baseline,0,3,bull,1500,0.5893,0.013922
BTCUSDT,baseline,0,7,bull,1500,0.6067,0.032077
BTCUSDT,baseline,0,1,bear,795,0.5031,0.000597
BTCUSDT,baseline,0,3,bear,795,0.5132,0.000635
BTCUSDT,baseline,0,7,bear,795,0.5157,0.002504
BTCUSDT,baseline,0,1,sideways,1850,0.5059,0.000143
BTCUSDT,baseline,0,3,sideways,1848,0.5222,0.00134
BTCUSDT,baseline,0,7,sideways,1844,0.5141,0.003622
BTCUSDT,baseline,0,1,all,4344,0.5237,0.001748
BTCUSDT,baseline,0,3,all,4342,0.5433,0.005262
BTCUSDT,baseline,0,7,all,4338,0.5426,0.01251
ETHUSDT,rsi,1,1,bull,0,,
ETHUSDT,rsi,1,1,bear,135,0.5111,-0.001524
ETHUSDT,rsi,1,1,sideways,1,1.0,0.061732
ETHUSDT,rsi,1,1,all,172,0.5116,-0.001667
ETHUSDT,rsi,1,3,bull,0,,
ETHUSDT,rsi,1,3,bear,135,0.4593,-0.009302
ETHUSDT,rsi,1,3,sideways,1,1.0,0.111175
ETHUSDT,rsi,1,3,all,172,0.4767,-0.006749
ETHUSDT,rsi,1,7,bull,0,,
ETHUSDT,rsi,1,7,bear,135,0.5259,-0.002276
ETHUSDT,rsi,1,7,sideways,1,1.0,0.067975
ETHUSDT,rsi,1,7,all,172,0.5233,0.006789
ETHUSDT,bollinger,1,1,bull,6,1.0,0.029684
ETHUSDT,bollinger,1,1,bear,98,0.4898,-0.000746
ETHUSDT,bollinger,1,1,sideways,43,0.5814,0.008104
ETHUSDT,bollinger,1,1,all,155,0.5419,0.003214
ETHUSDT,bollinger,1,3,bull,6,0.5,0.011067
ETHUSDT,bollinger,1,3,bear,98,0.3776,-0.025731
ETHUSDT,bollinger,1,3,sideways,43,0.6047,0.017129
ETHUSDT,bollinger,1,3,all,155,0.4516,-0.011648
ETHUSDT,bollinger,1,7,bull,6,0.6667,0.047836
ETHUSDT,bollinger,1,7,bear,98,0.3878,-0.02666
ETHUSDT,bollinger,1,7,sideways,43,0.5581,0.024129
ETHUSDT,bollinger,1,7,all,155,0.4323,-0.011051
ETHUSDT,drop3,1,1,bull,125,0.664,0.011585
ETHUSDT,drop3,1,1,bear,191,0.5131,0.002121
ETHUSDT,drop3,1,1,sideways,166,0.5602,0.002751
ETHUSDT,drop3,1,1,all,531,0.5669,0.004629
ETHUSDT,drop3,1,3,bull,125,0.616,0.022256
ETHUSDT,drop3,1,3,bear,191,0.5079,-0.002726
ETHUSDT,drop3,1,3,sideways,166,0.5904,0.01079
ETHUSDT,drop3,1,3,all,531,0.5669,0.009048
ETHUSDT,drop3,1,7,bull,125,0.656,0.04117
ETHUSDT,drop3,1,7,bear,191,0.5288,-0.002644
ETHUSDT,drop3,1,7,sideways,166,0.5,0.011064
ETHUSDT,drop3,1,7,all,531,0.5424,0.01368
ETHUSDT,vol_spike,1,1,bull,83,0.5663,0.010217
ETHUSDT,vol_spike,1,1,bear,52,0.3654,-0.014041
ETHUSDT,vol_spike,1,1,sideways,64,0.5938,0.014347
ETHUSDT,vol_spike,1,1,all,215,0.5302,0.00602
ETHUSDT,vol_spike,1,3,bull,83,0.6265,0.018504
ETHUSDT,vol_spike,1,3,bear,52,0.3846,-0.022548
ETHUSDT,vol_spike,1,3,sideways,64,0.6406,0.022828
ETHUSDT,vol_spike,1,3,all,215,0.5907,0.013395
ETHUSDT,vol_spike,1,7,bull,83,0.5663,0.036503
ETHUSDT,vol_spike,1,7,bear,52,0.4231,-0.032104
ETHUSDT,vol_spike,1,7,sideways,64,0.5469,0.032168
ETHUSDT,vol_spike,1,7,all,215,0.5395,0.024206
ETHUSDT,rsi+bollinger,2,1,bull,0,,
ETHUSDT,rsi+bollinger,2,1,bear,62,0.4677,-0.000487
ETHUSDT,rsi+bollinger,2,1,sideways,1,1.0,0.061732
ETHUSDT,rsi+bollinger,2,1,all,64,0.4844,0.000844
ETHUSDT,rsi+bollinger,2,3,bull,0,,
ETHUSDT,rsi+bollinger,2,3,bear,62,0.3548,-0.032732
ETHUSDT,rsi+bollinger,2,3,sideways,1,1.0,0.111175
ETHUSDT,rsi+bollinger,2,3,all,64,0.3594,-0.03023
ETHUSDT,rsi+bollinger,2,7,bull,0,,
ETHUSDT,rsi+bollinger,2,7,bear,62,0.4355,-0.030201
ETHUSDT,rsi+bollinger,2,7,sideways,1,1.0,0.067975
ETHUSDT,rsi+bollinger,2,7,all,64,0.4375,-0.028306
ETHUSDT,rsi+drop3,2,1,bull,0,,
ETHUSDT,rsi+drop3,2,1,bear,68,0.5147,0.003457
ETHUSDT,rsi+drop3,2,1,sideways,1,1.0,0.061732
ETHUSDT,rsi+drop3,2,1,all,78,0.5256,0.004114
ETHUSDT,rsi+drop3,2,3,bull,0,,
ETHUSDT,rsi+drop3,2,3,bear,68,0.4265,-0.009616
ETHUSDT,rsi+drop3,2,3,sideways,1,1.0,0.111175
ETHUSDT,rsi+drop3,2,3,all,78,0.4487,-0.009816
ETHUSDT,rsi+drop3,2,7,bull,0,,
ETHUSDT,rsi+drop3,2,7,bear,68,0.5441,-0.014155
ETHUSDT,rsi+drop3,2,7,sideways,1,1.0,0.067975
ETHUSDT,rsi+drop3,2,7,all,78,0.5385,-0.011428
ETHUSDT,rsi+vol_spike,2,1,bull,0,,
ETHUSDT,rsi+vol_spike,2,1,bear,27,0.4074,-0.005444
ETHUSDT,rsi+vol_spike,2,1,sideways,0,,
ETHUSDT,rsi+vol_spike,2,1,all,28,0.4286,-0.004051
ETHUSDT,rsi+vol_spike,2,3,bull,0,,
ETHUSDT,rsi+vol_spike,2,3,bear,27,0.2963,-0.030497
ETHUSDT,rsi+vol_spike,2,3,sideways,0,,
ETHUSDT,rsi+vol_spike,2,3,all,28,0.3214,-0.027877
ETHUSDT,rsi+vol_spike,2,7,bull,0,,
ETHUSDT,rsi+vol_spike,2,7,bear,27,0.4074,-0.044302
ETHUSDT,rsi+vol_spike,2,7,sideways,0,,
ETHUSDT,rsi+vol_spike,2,7,all,28,0.3929,-0.043672
ETHUSDT,bollinger+drop3,2,1,bull,4,1.0,0.039599
ETHUSDT,bollinger+drop3,2,1,bear,68,0.5147,0.005793
ETHUSDT,bollinger+drop3,2,1,sideways,31,0.6452,0.019905
ETHUSDT,bollinger+drop3,2,1,all,111,0.5766,0.010938
ETHUSDT,bollinger+drop3,2,3,bull,4,0.5,0.00697
ETHUSDT,bollinger+drop3,2,3,bear,68,0.4118,-0.021836
ETHUSDT,bollinger+drop3,2,3,sideways,31,0.7097,0.034671
ETHUSDT,bollinger+drop3,2,3,all,111,0.5045,-0.004225
ETHUSDT,bollinger+drop3,2,7,bull,4,0.5,0.039051
ETHUSDT,bollinger+drop3,2,7,bear,68,0.4265,-0.027831
ETHUSDT,bollinger+drop3,2,7,sideways,31,0.6452,0.043932
ETHUSDT,bollinger+drop3,2,7,all,111,0.4685,-0.0072
ETHUSDT,bollinger+vol_spike,2,1,bull,0,,
ETHUSDT,bollinger+vol_spike,2,1,bear,32,0.3438,-0.012417
ETHUSDT,bollinger+vol_spike,2,1,sideways,8,0.875,0.034265
ETHUSDT,bollinger+vol_spike,2,1,all,40,0.45,-0.003081
ETHUSDT,bollinger+vol_spike,2,3,bull,0,,
ETHUSDT,bollinger+vol_spike,2,3,bear,32,0.3125,-0.031102
ETHUSDT,bollinger+vol_spike,2,3,sideways,8,0.625,0.023697
ETHUSDT,bollinger+vol_spike,2,3,all,40,0.375,-0.020142
ETHUSDT,bollinger+vol_spike,2,7,bull,0,,
ETHUSDT,bollinger+vol_spike,2,7,bear,32,0.4062,-0.042472
ETHUSDT,bollinger+vol_spike,2,7,sideways,8,0.75,0.103476
ETHUSDT,bollinger+vol_spike,2,7,all,40,0.475,-0.013282
ETHUSDT,drop3+vol_spike,2,1,bull,15,0.5333,0.010121
ETHUSDT,drop3+vol_spike,2,1,bear,28,0.4286,0.003651
ETHUSDT,drop3+vol_spike,2,1,sideways,20,0.65,0.005984
ETHUSDT,drop3+vol_spike,2,1,all,66,0.5303,0.006306
ETHUSDT,drop3+vol_spike,2,3,bull,15,0.5333,0.00047
ETHUSDT,drop3+vol_spike,2,3,bear,28,0.4286,-0.013436
ETHUSDT,drop3+vol_spike,2,3,sideways,20,0.6,0.00387
ETHUSDT,drop3+vol_spike,2,3,all,66,0.5303,0.00023
ETHUSDT,drop3+vol_spike,2,7,bull,15,0.5333,0.002307
ETHUSDT,drop3+vol_spike,2,7,bear,28,0.4643,-0.0281
ETHUSDT,drop3+vol_spike,2,7,sideways,20,0.45,0.034218
ETHUSDT,drop3+vol_spike,2,7,all,66,0.4848,-0.002139
ETHUSDT,rsi+bollinger+drop3,3,1,bull,0,,
ETHUSDT,rsi+bollinger+drop3,3,1,bear,45,0.4889,0.005379
ETHUSDT,rsi+bollinger+drop3,3,1,sideways,1,1.0,0.061732
ETHUSDT,rsi+bollinger+drop3,3,1,all,47,0.5106,0.006942
ETHUSDT,rsi+bollinger+drop3,3,3,bull,0,,
ETHUSDT,rsi+bollinger+drop3,3,3,bear,45,0.4,-0.025669
ETHUSDT,rsi+bollinger+drop3,3,3,sideways,1,1.0,0.111175
ETHUSDT,rsi+bollinger+drop3,3,3,all,47,0.4043,-0.022562
ETHUSDT,rsi+bollinger+drop3,3,7,bull,0,,
ETHUSDT,rsi+bollinger+drop3,3,7,bear,45,0.4889,-0.032468
ETHUSDT,rsi+bollinger+drop3,3,7,sideways,1,1.0,0.067975
ETHUSDT,rsi+bollinger+drop3,3,7,all,47,0.4894,-0.029791
ETHUSDT,rsi+bollinger+vol_spike,3,1,bull,0,,
ETHUSDT,rsi+bollinger+vol_spike,3,1,bear,27,0.4074,-0.005444
ETHUSDT,rsi+bollinger+vol_spike,3,1,sideways,0,,
ETHUSDT,rsi+bollinger+vol_spike,3,1,all,27,0.4074,-0.005444
ETHUSDT,rsi+bollinger+vol_spike,3,3,bull,0,,
ETHUSDT,rsi+bollinger+vol_spike,3,3,bear,27,0.2963,-0.030497
ETHUSDT,rsi+bollinger+vol_spike,3,3,sideways,0,,
ETHUSDT,rsi+bollinger+vol_spike,3,3,all,27,0.2963,-0.030497
ETHUSDT,rsi+bollinger+vol_spike,3,7,bull,0,,
ETHUSDT,rsi+bollinger+vol_spike,3,7,bear,27,0.4074,-0.044302
ETHUSDT,rsi+bollinger+vol_spike,3,7,sideways,0,,
ETHUSDT,rsi+bollinger+vol_spike,3,7,all,27,0.4074,-0.044302
ETHUSDT,rsi+drop3+vol_spike,3,1,bull,0,,
ETHUSDT,rsi+drop3+vol_spike,3,1,bear,21,0.4762,0.00692
ETHUSDT,rsi+drop3+vol_spike,3,1,sideways,0,,
ETHUSDT,rsi+drop3+vol_spike,3,1,all,21,0.4762,0.00692
ETHUSDT,rsi+drop3+vol_spike,3,3,bull,0,,
ETHUSDT,rsi+drop3+vol_spike,3,3,bear,21,0.3333,-0.020614
ETHUSDT,rsi+drop3+vol_spike,3,3,sideways,0,,
ETHUSDT,rsi+drop3+vol_spike,3,3,all,21,0.3333,-0.020614
ETHUSDT,rsi+drop3+vol_spike,3,7,bull,0,,
ETHUSDT,rsi+drop3+vol_spike,3,7,bear,21,0.4286,-0.04053
ETHUSDT,rsi+drop3+vol_spike,3,7,sideways,0,,
ETHUSDT,rsi+drop3+vol_spike,3,7,all,21,0.4286,-0.04053
ETHUSDT,bollinger+drop3+vol_spike,3,1,bull,0,,
ETHUSDT,bollinger+drop3+vol_spike,3,1,bear,22,0.4545,0.00654
ETHUSDT,bollinger+drop3+vol_spike,3,1,sideways,7,0.8571,0.033817
ETHUSDT,bollinger+drop3+vol_spike,3,1,all,29,0.5517,0.013124
ETHUSDT,bollinger+drop3+vol_spike,3,3,bull,0,,
ETHUSDT,bollinger+drop3+vol_spike,3,3,bear,22,0.3636,-0.014798
ETHUSDT,bollinger+drop3+vol_spike,3,3,sideways,7,0.5714,0.001977
ETHUSDT,bollinger+drop3+vol_spike,3,3,all,29,0.4138,-0.010749
ETHUSDT,bollinger+drop3+vol_spike,3,7,bull,0,,
ETHUSDT,bollinger+drop3+vol_spike,3,7,bear,22,0.4545,-0.032449
ETHUSDT,bollinger+drop3+vol_spike,3,7,sideways,7,0.7143,0.081941
ETHUSDT,bollinger+drop3+vol_spike,3,7,all,29,0.5172,-0.004838
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,1,bull,0,,
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,1,bear,21,0.4762,0.00692
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,1,sideways,0,,
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,1,all,21,0.4762,0.00692
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,3,bull,0,,
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,3,bear,21,0.3333,-0.020614
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,3,sideways,0,,
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,3,all,21,0.3333,-0.020614
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,7,bull,0,,
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,7,bear,21,0.4286,-0.04053
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,7,sideways,0,,
ETHUSDT,rsi+bollinger+drop3+vol_spike,4,7,all,21,0.4286,-0.04053
ETHUSDT,baseline,0,1,bull,885,0.5367,0.004285
ETHUSDT,baseline,0,3,bull,885,0.5571,0.012944
ETHUSDT,baseline,0,7,bull,885,0.5695,0.028755
ETHUSDT,baseline,0,1,bear,831,0.4753,-0.001475
ETHUSDT,baseline,0,3,bear,831,0.4826,-0.004857
ETHUSDT,baseline,0,7,bear,831,0.4922,-0.007674
ETHUSDT,baseline,0,1,sideways,1280,0.5133,0.001091
ETHUSDT,baseline,0,3,sideways,1278,0.5227,0.003348
ETHUSDT,baseline,0,7,sideways,1274,0.4929,0.00711
ETHUSDT,baseline,0,1,all,3195,0.5105,0.001548
ETHUSDT,baseline,0,3,all,3193,0.5224,0.004631
ETHUSDT,baseline,0,7,all,3189,0.5143,0.011256
SOLUSDT,rsi,1,1,bull,0,,
SOLUSDT,rsi,1,1,bear,68,0.5147,0.005491
SOLUSDT,rsi,1,1,sideways,1,1.0,0.044798
SOLUSDT,rsi,1,1,all,105,0.5048,0.005332
SOLUSDT,rsi,1,3,bull,0,,
SOLUSDT,rsi,1,3,bear,68,0.5882,0.024461
SOLUSDT,rsi,1,3,sideways,1,0.0,-0.003283
SOLUSDT,rsi,1,3,all,105,0.5429,0.021139
SOLUSDT,rsi,1,7,bull,0,,
SOLUSDT,rsi,1,7,bear,68,0.6618,0.054666
SOLUSDT,rsi,1,7,sideways,1,1.0,0.071525
SOLUSDT,rsi,1,7,all,105,0.6,0.04847
