symbol,date,daily_avg,daily_min,daily_max,daily_count,neg_pct_7d,f9_norm
SOLUSDT,2021-04-30,0.0003295766666666,0.00019041,0.00045193,3,0.0,0.2682
SOLUSDT,2021-05-01,0.0006518599999999,0.00040718,0.00104765,3,0.0,0.1393
SOLUSDT,2021-05-02,0.0005492133333333,0.0004006,0.00062817,3,0.0,0.1803
SOLUSDT,2021-05-03,0.0004770466666666,0.00027681,0.00068101,3,0.0,0.2092
SOLUSDT,2021-05-04,0.0005721799999999,0.00033292,0.00089378,3,0.0,0.1711
SOLUSDT,2021-05-05,0.0005249933333333,0.00021686,0.00075134,3,0.0,0.19
SOLUSDT,2021-05-06,0.0012270866666666,0.00077937,0.00172483,3,0.0,0.0
SOLUSDT,2021-05-07,0.0009876499999999,0.00086546,0.00119054,3,0.0,0.0049
SOLUSDT,2021-05-08,0.0007654,0.00072061,0.00082146,3,0.0,0.0938
SOLUSDT,2021-05-09,0.00048084,0.00043005,0.00057052,3,0.0,0.2077
SOLUSDT,2021-05-10,0.0008089,0.00057419,0.00111008,3,0.0,0.0764
SOLUSDT,2021-05-11,0.0001905033333333,0.0001,0.00037151,3,0.0,0.3238
SOLUSDT,2021-05-12,0.00027005,0.0001,0.00036144,3,0.0,0.292
SOLUSDT,2021-05-13,0.0001403766666666,0.0001,0.00022113,3,0.0,0.3438
SOLUSDT,2021-05-14,0.0001147966666666,0.0001,0.00014439,3,0.0,0.3541
SOLUSDT,2021-05-15,0.0003599633333333,0.0002179,0.00046368,3,0.0,0.256
SOLUSDT,2021-05-16,0.00038932,0.00014056,0.00057802,3,0.0,0.2443
SOLUSDT,2021-05-17,0.0004677566666666,0.0003684,0.00063116,3,0.0,0.2129
SOLUSDT,2021-05-18,0.0002652366666666,0.0001,0.00048279,3,0.0,0.2939
SOLUSDT,2021-05-19,-0.0016759799999999,-0.00536402,0.00023608,3,0.0476190476190476,0.8095
SOLUSDT,2021-05-20,0.0001039233333333,0.0001,0.00011177,3,0.0476190476190476,0.368
SOLUSDT,2021-05-21,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-05-22,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-05-23,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-05-24,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-05-25,0.0001,0.0001,0.0001,3,0.0476190476190476,0.3695
SOLUSDT,2021-05-26,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-05-27,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-05-28,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-05-29,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-05-30,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-05-31,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-01,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-02,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-03,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-04,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-05,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-06,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-07,0.0001,0.0001,0.0001,3,0.0,0.36
SOLUSDT,2021-06-08,0.0001,0.0001,0.0001,3,0.0,0.36
