symbol,threshold,holding_days,fold,train_start,train_end,test_start,test_end,train_n,test_n,train_win_rate,test_win_rate,train_mean_return,test_mean_return,train_sharpe,test_sharpe,pass_flag
SOLUSDT,-0.03,7,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,211,70,0.5024,0.5714,0.021878,0.044166,1.6695,4.3042,consistent
SOLUSDT,-0.05,1,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,124,29,0.5242,0.5517,0.002994,0.005657,0.5219,1.8196,consistent
SOLUSDT,-0.05,3,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,124,29,0.5,0.5517,0.019795,0.016323,1.85,3.1307,consistent
SOLUSDT,-0.05,7,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,123,27,0.4878,0.6667,0.030414,0.024073,2.1359,3.5203,consistent
SOLUSDT,-0.07,1,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,80,14,0.5125,0.5714,0.000728,0.000592,0.1115,0.1631,low_sample
SOLUSDT,-0.07,3,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,80,14,0.5125,0.5714,0.024589,0.012868,2.0825,2.156,low_sample
SOLUSDT,-0.07,7,1,2021-01-01,2022-12-31,2023-01-01,2023-12-31,79,14,0.519,0.4286,0.032785,-0.007911,2.2429,-0.9956,low_sample
SOLUSDT,-0.03,1,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,184,76,0.5272,0.5,-0.001488,0.004872,-0.3653,1.5653,consistent
SOLUSDT,-0.03,3,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,183,76,0.4426,0.6053,-0.011338,0.011043,-1.5782,2.3457,consistent
SOLUSDT,-0.03,7,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,180,75,0.4667,0.56,-0.008808,0.024227,-0.8024,3.8863,consistent
SOLUSDT,-0.05,1,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,92,34,0.5109,0.5,-0.003693,0.006684,-0.735,1.9723,consistent
SOLUSDT,-0.05,3,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,92,34,0.4674,0.6176,-0.016524,0.012251,-2.034,2.4519,consistent
SOLUSDT,-0.05,7,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,90,34,0.4222,0.5882,-0.030617,0.021121,-2.9746,3.6951,consistent
SOLUSDT,-0.07,1,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,59,17,0.5085,0.5294,-0.009577,0.010083,-1.6936,2.5149,consistent
SOLUSDT,-0.07,3,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,59,17,0.4746,0.6471,-0.025601,-0.001075,-2.8742,-0.2385,consistent
SOLUSDT,-0.07,7,2,2022-01-01,2023-12-31,2024-01-01,2024-12-31,59,17,0.3729,0.7059,-0.033975,0.045122,-2.9502,8.4648,consistent
SOLUSDT,-0.03,1,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,150,80,0.5267,0.5125,0.006533,0.000446,2.2812,0.1556,weakened
SOLUSDT,-0.03,3,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,150,80,0.5333,0.5875,0.009976,0.009707,2.1092,2.1614,consistent
SOLUSDT,-0.03,7,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,149,80,0.557,0.45,0.031723,-0.002235,3.7978,-0.3458,weakened
SOLUSDT,-0.05,1,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,63,35,0.5238,0.5429,0.006211,0.004013,1.9188,1.4093,consistent
SOLUSDT,-0.05,3,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,63,35,0.5873,0.6571,0.014126,0.015662,2.7928,3.3751,consistent
SOLUSDT,-0.05,7,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,63,35,0.6032,0.5143,0.019611,0.002225,3.1812,0.3433,weakened
SOLUSDT,-0.07,1,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,31,14,0.5484,0.4286,0.005797,-0.009401,1.529,-3.594,low_sample
SOLUSDT,-0.07,3,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,31,14,0.6129,0.5714,0.005222,0.017907,1.0148,3.5897,low_sample
SOLUSDT,-0.07,7,3,2023-01-01,2024-12-31,2025-01-01,2025-12-31,31,14,0.5806,0.5,0.021171,0.004567,3.1431,0.6709,low_sample
