symbol,window,k,holding_days,sample_size,mean_return,median_return,win_rate,sharpe_ratio,sortino_ratio,skewness,kurtosis,max_drawdown,avg_drawdown
BTCUSDT,20,2.5,7,65,0.02173568668639338,0.011502038282809643,0.5846153846153846,2.658967026524486,4.404264973229875,0.7141802589864149,1.7486196991685192,-0.23201653482188184,-0.08045869689146823
ETHUSDT,10,2.0,1,125,-0.001290424326229178,0.0015665928844299216,0.528,-0.39036674628769247,-0.5393129675171999,0.18138342856308068,3.022516371566178,-0.17456449729905577,-0.03967176507248291
ETHUSDT,10,2.0,3,125,-0.011911482132832081,-0.0005559862245818636,0.488,-2.441720678817567,-3.0929387954739487,-0.6762246388682692,0.6102754795300602,-0.27654522066160286,-0.06922949461692783
ETHUSDT,10,2.0,7,125,-0.009642418021823506,0.001290257451778692,0.504,-1.3916485545216875,-1.7012055519282538,-0.7417056462494899,1.4285210428839732,-0.3760780766460281,-0.09020768938980392
ETHUSDT,10,2.5,1,16,-0.008805650772003688,-0.011367655305641074,0.375,-1.928127690856934,-2.642487779438291,0.4826670458422822,4.327512230196516,-0.17456449729905577,-0.04223353339871492
ETHUSDT,10,2.5,3,16,-0.0174251478815247,0.0040950394659649515,0.5,-2.7770060624098685,-3.1434348515141135,-1.1562873014946256,1.828579998794078,-0.27654522066160286,-0.09014606558500099
ETHUSDT,10,2.5,7,16,-0.03480326133546835,0.004969248802110875,0.5,-3.804696047600881,-4.401292316461661,-0.6807187248663261,0.23271480700621439,-0.34745241687955725,-0.1395779178988775
ETHUSDT,20,2.0,1,155,0.0032142826453862967,0.005533453740142905,0.5419354838709678,0.7921799797537915,1.3056272941022282,0.49569940856956063,1.7198793879702898,-0.16650362093294369,-0.0473984333395983
ETHUSDT,20,2.0,3,155,-0.011648359049490815,-0.007239102802016979,0.45161290322580644,-2.046897086467921,-3.3564885580466637,0.33259441809798024,0.9971836369378866,-0.20788926473004596,-0.07624373715477044
ETHUSDT,20,2.0,7,155,-0.011051017858936679,-0.0070886511922331336,0.432258064516129,-1.5966811922329136,-2.1838365093432666,-0.41079283654032867,0.4036228533692272,-0.3504213110474876,-0.08413144782728445
ETHUSDT,20,2.5,1,48,0.0024219459791710364,0.00533359546530216,0.5416666666666666,0.5799535561353169,0.8470263223449725,0.3417595444168593,1.7976127424434658,-0.16650362093294369,-0.04732466461653688
ETHUSDT,20,2.5,3,48,-0.01638816590889289,-0.006401948782938028,0.4166666666666667,-2.9775322919850797,-4.513943775569969,-0.04540154707930452,-0.5314324614503829,-0.20788926473004596,-0.07467325107980337
ETHUSDT,20,2.5,7,48,-0.010872021902759424,-0.006689584449672452,0.4583333333333333,-1.4056892959993115,-1.8400060017911701,-0.5008091267074135,0.6418699706446072,-0.3504213110474876,-0.09442489610798986
SOLUSDT,10,2.0,1,58,-0.007266509485905065,-0.007696163569231187,0.43103448275862066,-1.2973833540991138,-1.5203867821628305,-1.2379489623106026,8.65796981159955,-0.4228090368113009,-0.055884382563666235
SOLUSDT,10,2.0,3,58,-0.0021776300444351186,0.003900843928790645,0.5172413793103449,-0.28964265117253524,-0.3952481436470287,-0.031986801223494156,1.7110167740258597,-0.32402647220130626,-0.09021978182727651
SOLUSDT,10,2.0,7,58,0.009398271823672115,-6.692444200680374e-05,0.5,0.9982939308980397,1.5619940943121562,0.31013311310398073,1.6807635387050506,-0.40788590782901013,-0.09703155720617905
SOLUSDT,10,2.5,1,2,-0.04518287452026505,-0.04518287452026505,0.0,-45.885471813398794,-45.885471813398794,,,-0.05623597016404116,-0.04518287452026505
SOLUSDT,10,2.5,3,2,-0.01964236952930286,-0.01964236952930286,0.5,-1.7769722428116832,,,,-0.14372143267792428,-0.14372143267792428
SOLUSDT,10,2.5,7,2,-0.07948139463542317,-0.07948139463542317,0.0,-20.11924135762438,-20.11924135762438,,,-0.12382583219087198,-0.07948139463542317
SOLUSDT,20,2.0,1,104,0.0040957008720562595,0.00580361452931958,0.5576923076923077,0.764563339216512,0.9352730600268636,-0.5665243002197957,7.3918378611456035,-0.4228090368113009,-0.057881893080663674
SOLUSDT,20,2.0,3,104,0.010017977145264801,0.011923924747025113,0.5769230769230769,1.4833220037295982,2.124478354487246,0.2303199395722986,3.262823223199641,-0.32402647220130626,-0.07829466075748472
SOLUSDT,20,2.0,7,104,0.019096597740915027,0.0066485082664763315,0.5384615384615384,2.3892431927703135,4.012962819030213,0.15688670133862237,1.1949209200611124,-0.40788590782901013,-0.08356911748611186
SOLUSDT,20,2.5,1,29,0.029770906557524766,0.014918505048077879,0.6551724137931034,5.445275604833645,12.45039809126069,1.2575782569346603,2.4744355607473376,-0.11008098554124289,-0.046092147899482794
SOLUSDT,20,2.5,3,29,0.00424732034258985,-0.003283480408689947,0.4827586206896552,0.5424539992491352,0.921703662545191,1.1571331746458837,5.2525478459925665,-0.2937595262441998,-0.07372589851719735
SOLUSDT,20,2.5,7,29,0.028214351664757335,0.00022255839417509554,0.5172413793103449,4.049420397722977,9.388769145967949,0.7041129004100914,0.09984570076423926,-0.15209806484598837,-0.057344542813886054
