date,turbulence_raw,turbulence_norm,turbulence_level
2021-08-11,0.03538603860563737,0.0012934644943990222,low
2021-08-12,0.6082647619060542,0.02588504544209794,low
2021-08-13,2.6066063484417112,0.11166651521519422,low
2021-08-14,0.2406872044458658,0.010106290024610618,low
2021-08-15,5.993700975681502,0.2570620558689255,moderate
2021-08-16,5.939357655296229,0.2547292965817205,moderate
2021-08-17,1.1396632707340864,0.04869603302782165,low
2021-08-18,1.9658289411386343,0.08416029297260812,low
2021-08-19,1.1100131760748924,0.047423263289197326,low
2021-08-20,1.9982107032373533,0.08555032316833977,low
2021-08-21,0.781979958993277,0.033342001264099586,low
2021-08-22,0.1704238208257836,0.007090140854332615,low
2021-08-23,0.14946750278302706,0.006190563036980298,low
2021-08-24,1.2486536707832172,0.05337459087316996,low
2021-08-25,0.34263639345429286,0.014482594523422097,low
2021-08-26,1.5983684732857646,0.06838656378220762,low
2021-08-27,2.7598389199694,0.11824422709954913,low
2021-08-28,1.2343088715004624,0.05275882128984862,low
2021-08-29,0.21727341499376462,0.009101221979341661,low
2021-08-30,4.96998312877246,0.21311760606490282,low
2021-08-31,2.919548181545272,0.12509995951620007,low
2021-09-01,4.752431425398628,0.20377890992166714,low
2021-09-02,3.441812299701701,0.1475188412364545,low
2021-09-03,1.7207860609179413,0.07364150150852988,low
2021-09-04,0.6641155747932678,0.028282515849443576,low
2021-09-05,0.936252509257353,0.039964355618561286,low
2021-09-06,3.4667702075877775,0.1485901926186978,low
2021-09-07,9.250587003393996,0.3968682192511205,moderate
2021-09-08,1.5180668808512485,0.0649395111508831,low
2021-09-09,0.6655172940206255,0.028342686511127303,low
2021-09-10,1.3887345633207793,0.059387749449242466,low
2021-09-11,0.2141375008916435,0.008966608696720406,low
2021-09-12,1.0794131276917798,0.04610971552383163,low
2021-09-13,0.594584039883867,0.025297782258202107,low
2021-09-14,3.0436194183930256,0.1304258823339387,low
