symbol,date,regime,close,rsi14
BTCUSDT,2015-06-12,sideways,229.98,48.37
BTCUSDT,2015-06-13,sideways,232.4,52.77
BTCUSDT,2015-06-14,sideways,233.54,54.73
BTCUSDT,2015-06-15,sideways,236.82,59.87
BTCUSDT,2015-06-16,sideways,250.9,73.69
BTCUSDT,2015-06-17,sideways,249.28,70.69
BTCUSDT,2015-06-18,sideways,249.01,70.16
BTCUSDT,2015-06-19,sideways,244.61,62.19
BTCUSDT,2015-06-20,sideways,245.21,62.82
BTCUSDT,2015-06-21,sideways,243.94,60.56
BTCUSDT,2015-06-22,sideways,246.99,63.92
BTCUSDT,2015-06-23,sideways,244.3,59.12
BTCUSDT,2015-06-24,sideways,240.51,53.11
BTCUSDT,2015-06-25,sideways,242.8,56.02
BTCUSDT,2015-06-26,sideways,243.59,57.02
BTCUSDT,2015-06-27,sideways,250.99,65.0
BTCUSDT,2015-06-28,sideways,249.01,61.7
BTCUSDT,2015-06-29,bull,257.06,68.67
BTCUSDT,2015-06-30,bull,263.07,72.67
BTCUSDT,2015-07-01,bull,258.62,65.95
BTCUSDT,2015-07-02,bull,255.41,61.54
BTCUSDT,2015-07-03,bull,256.34,62.32
BTCUSDT,2015-07-04,bull,260.89,65.99
BTCUSDT,2015-07-05,bull,271.91,72.88
BTCUSDT,2015-07-06,bull,269.03,68.95
BTCUSDT,2015-07-07,bull,266.21,65.23
BTCUSDT,2015-07-08,bull,270.79,68.22
BTCUSDT,2015-07-09,bull,269.23,66.14
BTCUSDT,2015-07-10,bull,284.89,74.55
BTCUSDT,2015-07-11,bull,293.11,77.69
BTCUSDT,2015-07-12,bull,310.87,82.65
BTCUSDT,2015-07-13,bull,292.05,65.91
BTCUSDT,2015-07-14,bull,287.46,62.58
BTCUSDT,2015-07-15,bull,285.83,61.39
BTCUSDT,2015-07-16,bull,278.09,55.96
BTCUSDT,2015-07-17,bull,279.47,56.7
BTCUSDT,2015-07-18,bull,274.9,53.51
BTCUSDT,2015-07-19,bull,273.61,52.62
BTCUSDT,2015-07-20,bull,278.98,55.93
BTCUSDT,2015-07-21,bull,275.83,53.56
BTCUSDT,2015-07-22,bull,277.22,54.48
BTCUSDT,2015-07-23,bull,276.05,53.52
BTCUSDT,2015-07-24,bull,288.28,61.19
BTCUSDT,2015-07-25,bull,288.7,61.43
BTCUSDT,2015-07-26,bull,292.69,63.68
BTCUSDT,2015-07-27,bull,293.62,64.21
BTCUSDT,2015-07-28,bull,294.43,64.69
BTCUSDT,2015-07-29,bull,289.59,59.56
BTCUSDT,2015-07-30,bull,287.72,57.66
BTCUSDT,2015-07-31,bull,284.65,54.58
BTCUSDT,2015-08-01,bull,281.6,51.62
BTCUSDT,2015-08-02,bull,282.61,52.54
BTCUSDT,2015-08-03,bull,281.23,51.11
BTCUSDT,2015-08-04,sideways,285.22,54.92
BTCUSDT,2015-08-05,sideways,281.88,51.32
BTCUSDT,2015-08-06,sideways,278.58,47.97
BTCUSDT,2015-08-07,sideways,279.58,49.06
BTCUSDT,2015-08-08,sideways,261.0,34.63
BTCUSDT,2015-08-09,sideways,265.08,38.88
BTCUSDT,2015-08-10,sideways,264.47,38.48
BTCUSDT,2015-08-11,sideways,270.39,44.49
BTCUSDT,2015-08-12,sideways,266.38,41.53
BTCUSDT,2015-08-13,sideways,264.08,39.89
BTCUSDT,2015-08-14,sideways,265.68,41.62
BTCUSDT,2015-08-15,sideways,261.55,38.54
BTCUSDT,2015-08-16,sideways,258.51,36.4
BTCUSDT,2015-08-17,sideways,257.98,36.03
BTCUSDT,2015-08-18,bear,211.08,18.19
BTCUSDT,2015-08-19,bear,226.68,30.52
BTCUSDT,2015-08-20,bear,235.35,36.26
BTCUSDT,2015-08-21,bear,232.57,35.25
BTCUSDT,2015-08-22,bear,230.39,34.45
BTCUSDT,2015-08-23,bear,228.17,33.6
BTCUSDT,2015-08-24,bear,210.49,27.77
BTCUSDT,2015-08-25,bear,221.61,35.37
BTCUSDT,2015-08-26,bear,225.83,38.04
BTCUSDT,2015-08-27,bear,224.77,37.61
BTCUSDT,2015-08-28,bear,231.4,41.93
BTCUSDT,2015-08-29,bear,229.78,41.18
BTCUSDT,2015-08-30,bear,228.76,40.69
BTCUSDT,2015-08-31,bear,230.06,41.64
BTCUSDT,2015-09-01,bear,228.12,40.59
BTCUSDT,2015-09-02,bear,229.28,41.55
BTCUSDT,2015-09-03,bear,227.18,40.29
BTCUSDT,2015-09-04,bear,230.3,43.05
BTCUSDT,2015-09-05,bear,235.02,47.04
BTCUSDT,2015-09-06,bear,239.84,50.84
BTCUSDT,2015-09-07,bear,239.85,50.84
BTCUSDT,2015-09-08,bear,243.61,53.84
BTCUSDT,2015-09-09,bear,238.17,49.17
BTCUSDT,2015-09-10,bear,238.48,49.44
BTCUSDT,2015-09-11,bear,240.11,50.91
BTCUSDT,2015-09-12,bear,235.23,46.55
BTCUSDT,2015-09-13,bear,230.51,42.74
BTCUSDT,2015-09-14,bear,230.64,42.88
BTCUSDT,2015-09-15,bear,230.3,42.59
BTCUSDT,2015-09-16,bear,229.09,41.51
BTCUSDT,2015-09-17,sideways,229.81,42.44
BTCUSDT,2015-09-18,sideways,232.98,46.49
BTCUSDT,2015-09-19,sideways,231.49,44.9
BTCUSDT,2015-09-20,sideways,231.21,44.58
BTCUSDT,2015-09-21,sideways,227.09,40.17
BTCUSDT,2015-09-22,sideways,230.62,45.17
BTCUSDT,2015-09-23,sideways,230.28,44.79
BTCUSDT,2015-09-24,sideways,234.53,50.51
BTCUSDT,2015-09-25,sideways,235.14,51.3
BTCUSDT,2015-09-26,sideways,234.34,50.17
BTCUSDT,2015-09-27,sideways,232.76,47.95
BTCUSDT,2015-09-28,sideways,239.14,56.36
BTCUSDT,2015-09-29,sideways,236.69,52.82
BTCUSDT,2015-09-30,sideways,236.06,51.93
BTCUSDT,2015-10-01,sideways,237.55,53.93
BTCUSDT,2015-10-02,sideways,237.29,53.51
BTCUSDT,2015-10-03,sideways,238.73,55.56
BTCUSDT,2015-10-04,sideways,238.26,54.71
BTCUSDT,2015-10-05,sideways,240.38,57.85
BTCUSDT,2015-10-06,sideways,246.06,64.87
BTCUSDT,2015-10-07,sideways,242.97,59.1
BTCUSDT,2015-10-08,sideways,242.3,57.9
BTCUSDT,2015-10-09,sideways,243.93,60.03
